frame,object_id,class,x,y,width,height,center_x,center_y,area
610,1387,person,1041.98,393.34,118.91,275.81,1041.98,393.34,32795.68
611,1387,person,1045.4,390.25,117.03,270.83,1045.4,390.25,31696.44
612,1387,person,1048.66,385.28,114.54,262.88,1048.66,385.28,30111.52
613,1387,person,1051.83,380.82,114.96,262.4,1051.83,380.82,30166.71
614,1387,person,1052.73,377.36,115.2,261.89,1052.73,377.36,30169.56
615,1387,person,1057.02,373.34,114.99,261.43,1057.02,373.34,30061.54
616,1387,person,1058.42,373.06,116.08,262.43,1058.42,373.06,30462.42
617,1387,person,1060.17,374.27,117.99,264.89,1060.17,374.27,31252.98
618,1387,person,1062.45,372.7,120.59,269.99,1062.45,372.7,32558.76
619,1387,person,1063.3,370.0,122.35,274.61,1063.3,370.0,33598.17
620,1387,person,1063.76,370.37,122.9,275.97,1063.76,370.37,33916.65
621,1387,person,1063.81,371.07,123.35,276.83,1063.81,371.07,34148.08
622,1387,person,1061.21,377.6,122.47,275.24,1061.21,377.6,33709.52
623,1387,person,1056.24,384.55,121.11,270.24,1056.24,384.55,32727.67
624,1387,person,1052.87,389.4,118.25,262.54,1052.87,389.4,31044.6
625,1387,person,1050.98,390.68,118.0,260.78,1050.98,390.68,30770.9
626,1387,person,1048.97,392.49,118.71,261.18,1048.97,392.49,31005.24
627,1387,person,1045.69,395.93,118.07,258.37,1045.69,395.93,30506.41
628,1387,person,1042.06,404.4,114.98,249.18,1042.06,404.4,28649.96
629,1387,person,1038.16,412.29,112.55,242.42,1038.16,412.29,27283.48
630,1387,person,1032.8,419.23,111.81,240.68,1032.8,419.23,26910.33
631,1387,person,1028.93,415.79,113.82,244.92,1028.93,415.79,27878.12
632,1387,person,1025.11,412.23,117.09,251.16,1025.11,412.23,29408.34
633,1387,person,1022.35,405.76,114.54,244.43,1022.35,405.76,27995.25
634,1387,person,1018.17,401.02,114.54,241.77,1018.17,401.02,27691.36
634,1477,person,1138.94,319.39,73.18,212.7,1138.94,319.39,15565.95
635,1387,person,1012.16,398.56,115.21,239.58,1012.16,398.56,27600.62
635,1477,person,1138.4,320.09,72.94,212.41,1138.4,320.09,15493.63
636,1387,person,1005.12,396.9,116.46,238.18,1005.12,396.9,27739.33
636,1477,person,1138.55,322.44,72.4,210.97,1138.55,322.44,15274.02
